sample_id,source_id,split,class,augmentation_type,text,json_name,target_preview
1,1,reserved,basic_pose_control,original,Левую руку вверх,quality_00001_src_1_original.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":2.0}]"
2,1,reserved,basic_pose_control,tempo_fast,Выполни быстрее: левую руку вверх,quality_00002_src_1_tempo_fast.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":1.44}]"
3,1,reserved,basic_pose_control,tempo_slow,Выполни медленнее и плавнее: левую руку вверх,quality_00003_src_1_tempo_slow.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":2.9}]"
4,1,reserved,basic_pose_control,hold_short,Левую руку вверх. В конце коротко удержи позу.,quality_00004_src_1_hold_short.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":2.0},{""frame"":[],""duration"":1.0}]"
5,1,reserved,basic_pose_control,hold_long,Левую руку вверх. В конце удержи финальную позу несколько секунд.,quality_00005_src_1_hold_long.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":2.0},{""frame"":[],""duration"":3.0}]"
6,1,reserved,basic_pose_control,intensity_small,Выполни с меньшей амплитудой: левую руку вверх,quality_00006_src_1_intensity_small.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-103.2},{""name"":""left_shoulder_roll_joint"",""angle"":30.1},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":2.0}]"
7,1,reserved,basic_pose_control,intensity_large,Выполни шире и выразительнее: левую руку вверх,quality_00007_src_1_intensity_large.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-134.4},{""name"":""left_shoulder_roll_joint"",""angle"":39.2},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":2.0}]"
8,2,reserved,basic_pose_control,original,Правую руку вверх,quality_00008_src_2_original.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":2.0}]"
9,2,reserved,basic_pose_control,tempo_fast,Выполни быстрее: правую руку вверх,quality_00009_src_2_tempo_fast.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":1.44}]"
10,2,reserved,basic_pose_control,tempo_slow,Выполни медленнее и плавнее: правую руку вверх,quality_00010_src_2_tempo_slow.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":2.9}]"
11,2,reserved,basic_pose_control,hold_short,Правую руку вверх. В конце коротко удержи позу.,quality_00011_src_2_hold_short.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":2.0},{""frame"":[],""duration"":1.0}]"
12,2,reserved,basic_pose_control,hold_long,Правую руку вверх. В конце удержи финальную позу несколько секунд.,quality_00012_src_2_hold_long.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":2.0},{""frame"":[],""duration"":3.0}]"
13,2,reserved,basic_pose_control,intensity_small,Выполни с меньшей амплитудой: правую руку вверх,quality_00013_src_2_intensity_small.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-103.2},{""name"":""right_shoulder_roll_joint"",""angle"":-30.1},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":2.0}]"
14,2,reserved,basic_pose_control,intensity_large,Выполни шире и выразительнее: правую руку вверх,quality_00014_src_2_intensity_large.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-134.4},{""name"":""right_shoulder_roll_joint"",""angle"":-39.2},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":2.0}]"
15,3,reserved,basic_pose_control,original,Левую руку быстро вверх,quality_00015_src_3_original.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":1.0}]"
16,3,reserved,basic_pose_control,tempo_fast,Выполни быстрее: левую руку быстро вверх,quality_00016_src_3_tempo_fast.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":0.75}]"
17,3,reserved,basic_pose_control,tempo_slow,Выполни медленнее и плавнее: левую руку быстро вверх,quality_00017_src_3_tempo_slow.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":1.45}]"
18,3,reserved,basic_pose_control,hold_short,Левую руку быстро вверх. В конце коротко удержи позу.,quality_00018_src_3_hold_short.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":1.0},{""frame"":[],""duration"":1.0}]"
19,3,reserved,basic_pose_control,hold_long,Левую руку быстро вверх. В конце удержи финальную позу несколько секунд.,quality_00019_src_3_hold_long.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":1.0},{""frame"":[],""duration"":3.0}]"
20,3,reserved,basic_pose_control,intensity_small,Выполни с меньшей амплитудой: левую руку быстро вверх,quality_00020_src_3_intensity_small.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-103.2},{""name"":""left_shoulder_roll_joint"",""angle"":30.1},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":1.0}]"
21,3,reserved,basic_pose_control,intensity_large,Выполни шире и выразительнее: левую руку быстро вверх,quality_00021_src_3_intensity_large.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-134.4},{""name"":""left_shoulder_roll_joint"",""angle"":39.2},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":1.0}]"
22,4,reserved,basic_pose_control,original,Правую руку быстро вверх,quality_00022_src_4_original.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":1.0}]"
23,4,reserved,basic_pose_control,tempo_fast,Выполни быстрее: правую руку быстро вверх,quality_00023_src_4_tempo_fast.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":0.75}]"
24,4,reserved,basic_pose_control,tempo_slow,Выполни медленнее и плавнее: правую руку быстро вверх,quality_00024_src_4_tempo_slow.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":1.45}]"
25,4,reserved,basic_pose_control,hold_short,Правую руку быстро вверх. В конце коротко удержи позу.,quality_00025_src_4_hold_short.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":1.0},{""frame"":[],""duration"":1.0}]"
26,4,reserved,basic_pose_control,hold_long,Правую руку быстро вверх. В конце удержи финальную позу несколько секунд.,quality_00026_src_4_hold_long.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":1.0},{""frame"":[],""duration"":3.0}]"
27,4,reserved,basic_pose_control,intensity_small,Выполни с меньшей амплитудой: правую руку быстро вверх,quality_00027_src_4_intensity_small.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-103.2},{""name"":""right_shoulder_roll_joint"",""angle"":-30.1},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":1.0}]"
28,4,reserved,basic_pose_control,intensity_large,Выполни шире и выразительнее: правую руку быстро вверх,quality_00028_src_4_intensity_large.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-134.4},{""name"":""right_shoulder_roll_joint"",""angle"":-39.2},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":1.0}]"
29,5,reserved,basic_pose_control,original,Медленно правую руку вверх,quality_00029_src_5_original.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":5.0}]"
30,5,reserved,basic_pose_control,tempo_fast,Выполни быстрее: медленно правую руку вверх,quality_00030_src_5_tempo_fast.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":3.6}]"
31,5,reserved,basic_pose_control,tempo_slow,Выполни медленнее и плавнее: медленно правую руку вверх,quality_00031_src_5_tempo_slow.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":7.25}]"
32,5,reserved,basic_pose_control,hold_short,Медленно правую руку вверх. В конце коротко удержи позу.,quality_00032_src_5_hold_short.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":5.0},{""frame"":[],""duration"":1.0}]"
